DATE,REGION,AGEGROUP,SEX,BRAND,DOSE,COUNT
2021-01-01,Wallonia,55-64,M,Pfizer-BioNTech,A,1
2021-01-02,Flanders,18-24,F,Johnson&Johnson,C,1
2021-01-02,Flanders,25-34,M,Johnson&Johnson,C,2
2021-01-02,Flanders,35-44,M,Johnson&Johnson,C,1
2021-01-02,Flanders,35-44,M,Moderna,A,1
2021-01-02,Flanders,45-54,F,Johnson&Johnson,C,2
2021-01-02,Flanders,45-54,M,Johnson&Johnson,C,1
2021-01-02,Flanders,55-64,F,Johnson&Johnson,C,3
2021-01-02,Flanders,55-64,M,Johnson&Johnson,C,2
2021-01-02,Flanders,65-74,M,Johnson&Johnson,C,1
2021-01-02,,45-54,F,Pfizer-BioNTech,A,1
2021-01-02,Wallonia,55-64,F,Pfizer-BioNTech,A,1
2021-01-03,Brussels,65-74,F,Pfizer-BioNTech,A,1
2021-01-03,Flanders,55-64,F,Moderna,A,1
2021-01-03,Flanders,55-64,F,Pfizer-BioNTech,A,1
2021-01-03,Flanders,55-64,M,Pfizer-BioNTech,A,1
2021-01-03,Flanders,65-74,F,Pfizer-BioNTech,A,1
2021-01-03,Flanders,65-74,M,Pfizer-BioNTech,A,1
2021-01-03,Flanders,75-84,M,Pfizer-BioNTech,A,1
2021-01-03,,55-64,F,Pfizer-BioNTech,A,1
2021-01-03,,65-74,F,Pfizer-BioNTech,A,1
2021-01-03,,65-74,M,Pfizer-BioNTech,A,1
2021-01-03,Wallonia,65-74,F,Pfizer-BioNTech,A,2
2021-01-03,Wallonia,75-84,M,Pfizer-BioNTech,A,1
2021-01-04,Brussels,55-64,M,Pfizer-BioNTech,A,1
2021-01-04,Brussels,65-74,F,Moderna,A,1
2021-01-04,Brussels,65-74,F,Pfizer-BioNTech,A,1
2021-01-04,Brussels,65-74,M,Pfizer-BioNTech,A,1
2021-01-04,Flanders,16-17,M,Pfizer-BioNTech,A,1
2021-01-04,Flanders,18-24,M,Pfizer-BioNTech,A,2
2021-01-04,Flanders,25-34,M,Johnson&Johnson,C,3
2021-01-04,Flanders,25-34,M,Pfizer-BioNTech,A,1
2021-01-04,Flanders,35-44,F,Pfizer-BioNTech,A,1
2021-01-04,Flanders,45-54,F,Moderna,A,1
2021-01-04,Flanders,45-54,M,Moderna,A,1
2021-01-04,Flanders,45-54,M,Other,A,1
2021-01-04,Flanders,45-54,M,Pfizer-BioNTech,A,2
2021-01-04,Flanders,55-64,F,Pfizer-BioNTech,A,2
2021-01-04,Flanders,65-74,F,Pfizer-BioNTech,A,1
2021-01-04,,25-34,F,Moderna,A,1
2021-01-04,,25-34,F,Pfizer-BioNTech,A,1
2021-01-04,,55-64,F,Pfizer-BioNTech,A,1
2021-01-04,,65-74,F,Pfizer-BioNTech,A,1
2021-01-04,,65-74,M,Pfizer-BioNTech,A,1
2021-01-04,,75-84,F,Pfizer-BioNTech,A,1
2021-01-04,,75-84,M,Pfizer-BioNTech,A,2
2021-01-04,Wallonia,85+,F,Pfizer-BioNTech,A,1
2021-01-05,Brussels,18-24,F,Pfizer-BioNTech,A,3
2021-01-05,Brussels,25-34,F,Pfizer-BioNTech,A,9
2021-01-05,Brussels,25-34,M,Pfizer-BioNTech,A,5
2021-01-05,Brussels,35-44,F,Pfizer-BioNTech,A,7
2021-01-05,Brussels,35-44,M,Pfizer-BioNTech,A,8
2021-01-05,Brussels,45-54,F,Pfizer-BioNTech,A,12
2021-01-05,Brussels,45-54,M,Pfizer-BioNTech,A,12
2021-01-05,Brussels,55-64,F,Pfizer-BioNTech,A,23
2021-01-05,Brussels,55-64,M,Pfizer-BioNTech,A,48
2021-01-05,Brussels,65-74,F,Pfizer-BioNTech,A,70
2021-01-05,Brussels,65-74,M,Pfizer-BioNTech,A,76
2021-01-05,Brussels,75-84,F,Pfizer-BioNTech,A,101
2021-01-05,Brussels,75-84,M,Pfizer-BioNTech,A,74
2021-01-05,Brussels,85+,F,Pfizer-BioNTech,A,225
2021-01-05,Brussels,85+,M,Pfizer-BioNTech,A,57
2021-01-05,Flanders,18-24,F,Johnson&Johnson,C,1
2021-01-05,Flanders,25-34,F,Johnson&Johnson,C,1
2021-01-05,Flanders,25-34,F,Pfizer-BioNTech,A,5
2021-01-05,Flanders,25-34,M,Pfizer-BioNTech,A,3
2021-01-05,Flanders,35-44,F,Johnson&Johnson,C,1
2021-01-05,Flanders,35-44,F,Pfizer-BioNTech,A,4
2021-01-05,Flanders,35-44,M,Johnson&Johnson,C,4
2021-01-05,Flanders,35-44,M,Pfizer-BioNTech,A,1
2021-01-05,Flanders,45-54,F,Johnson&Johnson,C,1
2021-01-05,Flanders,45-54,M,Johnson&Johnson,C,4
2021-01-05,Flanders,45-54,M,Pfizer-BioNTech,A,6
2021-01-05,Flanders,55-64,F,Johnson&Johnson,C,1
2021-01-05,Flanders,55-64,F,Pfizer-BioNTech,A,7
2021-01-05,Flanders,55-64,M,Johnson&Johnson,C,3
2021-01-05,Flanders,55-64,M,Other,A,1
2021-01-05,Flanders,55-64,M,Pfizer-BioNTech,A,1
2021-01-05,Flanders,65-74,F,Johnson&Johnson,C,1
2021-01-05,Flanders,65-74,M,Pfizer-BioNTech,A,3
2021-01-05,Flanders,75-84,F,Pfizer-BioNTech,A,5
2021-01-05,Flanders,75-84,M,Pfizer-BioNTech,A,5
2021-01-05,Flanders,85+,F,Pfizer-BioNTech,A,6
2021-01-05,Flanders,85+,M,Pfizer-BioNTech,A,1
2021-01-05,,25-34,F,AstraZeneca-Oxford,A,1
2021-01-05,,25-34,F,Moderna,A,1
2021-01-05,,25-34,F,Pfizer-BioNTech,B,1
2021-01-05,,45-54,F,Pfizer-BioNTech,A,1
2021-01-05,,45-54,M,Pfizer-BioNTech,A,4
2021-01-05,,55-64,M,Pfizer-BioNTech,A,1
2021-01-05,Ostbelgien,18-24,F,Pfizer-BioNTech,A,1
2021-01-05,Ostbelgien,25-34,F,Pfizer-BioNTech,A,2
2021-01-05,Ostbelgien,35-44,F,Pfizer-BioNTech,A,7
2021-01-05,Ostbelgien,35-44,M,Pfizer-BioNTech,A,4
2021-01-05,Ostbelgien,45-54,F,Pfizer-BioNTech,A,3
2021-01-05,Ostbelgien,45-54,M,Pfizer-BioNTech,A,2
2021-01-05,Ostbelgien,55-64,F,Pfizer-BioNTech,A,6
2021-01-05,Ostbelgien,55-64,M,Pfizer-BioNTech,A,3
2021-01-05,Ostbelgien,65-74,M,Pfizer-BioNTech,A,4
2021-01-05,Ostbelgien,75-84,F,Pfizer-BioNTech,A,10
2021-01-05,Ostbelgien,75-84,M,Pfizer-BioNTech,A,3
2021-01-05,Ostbelgien,85+,F,Pfizer-BioNTech,A,24
2021-01-05,Ostbelgien,85+,M,Pfizer-BioNTech,A,5
2021-01-05,Wallonia,18-24,F,Pfizer-BioNTech,A,15
2021-01-05,Wallonia,18-24,M,Pfizer-BioNTech,A,4
2021-01-05,Wallonia,25-34,F,Pfizer-BioNTech,A,39
2021-01-05,Wallonia,25-34,M,Pfizer-BioNTech,A,8
2021-01-05,Wallonia,35-44,F,Pfizer-BioNTech,A,67
2021-01-05,Wallonia,35-44,M,Pfizer-BioNTech,A,15
2021-01-05,Wallonia,45-54,F,Pfizer-BioNTech,A,76
2021-01-05,Wallonia,45-54,M,Pfizer-BioNTech,A,16
2021-01-05,Wallonia,55-64,F,Pfizer-BioNTech,A,43
2021-01-05,Wallonia,55-64,M,Pfizer-BioNTech,A,26
2021-01-05,Wallonia,65-74,F,Pfizer-BioNTech,A,50
2021-01-05,Wallonia,65-74,M,Pfizer-BioNTech,A,36
2021-01-05,Wallonia,75-84,F,Pfizer-BioNTech,A,105
2021-01-05,Wallonia,75-84,M,Pfizer-BioNTech,A,54
2021-01-05,Wallonia,85+,F,Pfizer-BioNTech,A,251
2021-01-05,Wallonia,85+,M,Pfizer-BioNTech,A,64
2021-01-06,Brussels,18-24,F,Pfizer-BioNTech,A,3
2021-01-06,Brussels,18-24,M,Pfizer-BioNTech,A,1
2021-01-06,Brussels,25-34,F,Pfizer-BioNTech,A,10
2021-01-06,Brussels,25-34,M,Pfizer-BioNTech,A,7
2021-01-06,Brussels,35-44,F,Moderna,A,1
2021-01-06,Brussels,35-44,F,Pfizer-BioNTech,A,16
2021-01-06,Brussels,35-44,M,Pfizer-BioNTech,A,6
2021-01-06,Brussels,45-54,F,Pfizer-BioNTech,A,21
2021-01-06,Brussels,45-54,M,Pfizer-BioNTech,A,14
2021-01-06,Brussels,55-64,F,Pfizer-BioNTech,A,40
2021-01-06,Brussels,55-64,M,Pfizer-BioNTech,A,44
2021-01-06,Brussels,65-74,F,Pfizer-BioNTech,A,67
2021-01-06,Brussels,65-74,M,Pfizer-BioNTech,A,55
2021-01-06,Brussels,75-84,F,Pfizer-BioNTech,A,155
2021-01-06,Brussels,75-84,M,Pfizer-BioNTech,A,72
2021-01-06,Brussels,85+,F,Pfizer-BioNTech,A,406
2021-01-06,Brussels,85+,M,Pfizer-BioNTech,A,75
2021-01-06,Flanders,18-24,F,Johnson&Johnson,C,1
2021-01-06,Flanders,18-24,F,Pfizer-BioNTech,A,9
2021-01-06,Flanders,18-24,M,Johnson&Johnson,C,2
2021-01-06,Flanders,25-34,F,Pfizer-BioNTech,A,28
2021-01-06,Flanders,25-34,M,Pfizer-BioNTech,A,7
2021-01-06,Flanders,35-44,F,Johnson&Johnson,C,2
2021-01-06,Flanders,35-44,F,Pfizer-BioNTech,A,29
2021-01-06,Flanders,35-44,M,Johnson&Johnson,C,1
2021-01-06,Flanders,35-44,M,Pfizer-BioNTech,A,8
2021-01-06,Flanders,45-54,F,Johnson&Johnson,C,4
2021-01-06,Flanders,45-54,F,Pfizer-BioNTech,A,44
2021-01-06,Flanders,45-54,M,Johnson&Johnson,C,2
2021-01-06,Flanders,45-54,M,Pfizer-BioNTech,A,17
2021-01-06,Flanders,55-64,F,Johnson&Johnson,C,3
2021-01-06,Flanders,55-64,F,Moderna,A,1
2021-01-06,Flanders,55-64,F,Pfizer-BioNTech,A,42
2021-01-06,Flanders,55-64,M,Johnson&Johnson,C,2
2021-01-06,Flanders,55-64,M,Pfizer-BioNTech,A,28
2021-01-06,Flanders,65-74,F,Johnson&Johnson,C,2
2021-01-06,Flanders,65-74,F,Pfizer-BioNTech,A,23
2021-01-06,Flanders,65-74,M,Johnson&Johnson,C,3
2021-01-06,Flanders,65-74,M,Pfizer-BioNTech,A,32
2021-01-06,Flanders,75-84,F,Pfizer-BioNTech,A,140
2021-01-06,Flanders,75-84,M,Pfizer-BioNTech,A,71
2021-01-06,Flanders,85+,F,Pfizer-BioNTech,A,375
2021-01-06,Flanders,85+,M,Pfizer-BioNTech,A,121
2021-01-06,,25-34,F,Moderna,A,1
2021-01-06,,25-34,F,Pfizer-BioNTech,A,4
2021-01-06,,25-34,M,Moderna,A,1
2021-01-06,,25-34,M,Pfizer-BioNTech,A,1
2021-01-06,,35-44,F,Pfizer-BioNTech,A,5
2021-01-06,,35-44,M,Pfizer-BioNTech,A,1
2021-01-06,,45-54,F,Pfizer-BioNTech,A,5
2021-01-06,,45-54,M,Pfizer-BioNTech,A,1
2021-01-06,,55-64,F,Pfizer-BioNTech,A,2
2021-01-06,,55-64,M,Moderna,A,1
2021-01-06,,55-64,M,Pfizer-BioNTech,A,2
2021-01-06,,75-84,F,Pfizer-BioNTech,A,2
2021-01-06,,85+,F,Pfizer-BioNTech,A,1
2021-01-06,Ostbelgien,25-34,F,Pfizer-BioNTech,A,1
2021-01-06,Ostbelgien,35-44,F,Pfizer-BioNTech,A,1
2021-01-06,Ostbelgien,35-44,M,Pfizer-BioNTech,A,1
2021-01-06,Ostbelgien,55-64,F,Pfizer-BioNTech,A,2
2021-01-06,Ostbelgien,65-74,F,Pfizer-BioNTech,A,5
2021-01-06,Ostbelgien,65-74,M,Pfizer-BioNTech,A,2
2021-01-06,Ostbelgien,75-84,F,Pfizer-BioNTech,A,13
2021-01-06,Ostbelgien,75-84,M,Pfizer-BioNTech,A,5
2021-01-06,Ostbelgien,85+,F,Pfizer-BioNTech,A,4
2021-01-06,Ostbelgien,85+,M,Pfizer-BioNTech,A,1
2021-01-06,Wallonia,16-17,M,Pfizer-BioNTech,A,2
2021-01-06,Wallonia,18-24,F,Pfizer-BioNTech,A,25
2021-01-06,Wallonia,18-24,M,Pfizer-BioNTech,A,10
2021-01-06,Wallonia,25-34,F,Pfizer-BioNTech,A,93
2021-01-06,Wallonia,25-34,M,Pfizer-BioNTech,A,19
2021-01-06,Wallonia,35-44,F,Pfizer-BioNTech,A,139
2021-01-06,Wallonia,35-44,M,Pfizer-BioNTech,A,26
2021-01-06,Wallonia,45-54,F,Pfizer-BioNTech,A,160
2021-01-06,Wallonia,45-54,M,Pfizer-BioNTech,A,39
2021-01-06,Wallonia,55-64,F,Pfizer-BioNTech,A,127
2021-01-06,Wallonia,55-64,M,Pfizer-BioNTech,A,58
2021-01-06,Wallonia,65-74,F,Pfizer-BioNTech,A,100
2021-01-06,Wallonia,65-74,M,Johnson&Johnson,C,1
2021-01-06,Wallonia,65-74,M,Pfizer-BioNTech,A,86
2021-01-06,Wallonia,75-84,F,Pfizer-BioNTech,A,277
2021-01-06,Wallonia,75-84,M,Pfizer-BioNTech,A,105
2021-01-06,Wallonia,85+,F,Pfizer-BioNTech,A,523
2021-01-06,Wallonia,85+,M,Pfizer-BioNTech,A,138
2021-01-07,Brussels,18-24,F,Pfizer-BioNTech,A,2
2021-01-07,Brussels,25-34,F,Pfizer-BioNTech,A,16
2021-01-07,Brussels,25-34,M,Pfizer-BioNTech,A,5
2021-01-07,Brussels,35-44,F,Pfizer-BioNTech,A,13
2021-01-07,Brussels,35-44,M,Pfizer-BioNTech,A,7
2021-01-07,Brussels,45-54,F,Johnson&Johnson,C,1
2021-01-07,Brussels,45-54,F,Pfizer-BioNTech,A,21
2021-01-07,Brussels,45-54,M,Moderna,A,1
2021-01-07,Brussels,45-54,M,Pfizer-BioNTech,A,16
2021-01-07,Brussels,55-64,F,Pfizer-BioNTech,A,46
2021-01-07,Brussels,55-64,M,Pfizer-BioNTech,A,46
2021-01-07,Brussels,65-74,F,Pfizer-BioNTech,A,88
2021-01-07,Brussels,65-74,M,Pfizer-BioNTech,A,65
2021-01-07,Brussels,75-84,F,Pfizer-BioNTech,A,153
2021-01-07,Brussels,75-84,M,Pfizer-BioNTech,A,77
2021-01-07,Brussels,85+,F,Pfizer-BioNTech,A,362
2021-01-07,Brussels,85+,M,Pfizer-BioNTech,A,77
2021-01-07,Flanders,18-24,F,Pfizer-BioNTech,A,11
2021-01-07,Flanders,18-24,M,Pfizer-BioNTech,A,3
2021-01-07,Flanders,25-34,F,Moderna,A,1
2021-01-07,Flanders,25-34,F,Pfizer-BioNTech,A,67
2021-01-07,Flanders,25-34,M,Pfizer-BioNTech,A,19
2021-01-07,Flanders,35-44,F,Johnson&Johnson,C,1
2021-01-07,Flanders,35-44,F,Moderna,A,1
2021-01-07,Flanders,35-44,F,Pfizer-BioNTech,A,115
2021-01-07,Flanders,35-44,M,Johnson&Johnson,C,2
2021-01-07,Flanders,35-44,M,Moderna,A,1
2021-01-07,Flanders,35-44,M,Pfizer-BioNTech,A,27
2021-01-07,Flanders,45-54,F,Moderna,A,1
2021-01-07,Flanders,45-54,F,Pfizer-BioNTech,A,103
2021-01-07,Flanders,45-54,M,Johnson&Johnson,C,1
2021-01-07,Flanders,45-54,M,Pfizer-BioNTech,A,35
2021-01-07,Flanders,55-64,F,Pfizer-BioNTech,A,121
2021-01-07,Flanders,55-64,M,Johnson&Johnson,C,1
2021-01-07,Flanders,55-64,M,Pfizer-BioNTech,A,65
2021-01-07,Flanders,65-74,F,Pfizer-BioNTech,A,90
2021-01-07,Flanders,65-74,M,Moderna,A,1
2021-01-07,Flanders,65-74,M,Pfizer-BioNTech,A,59
2021-01-07,Flanders,75-84,F,Pfizer-BioNTech,A,347
2021-01-07,Flanders,75-84,M,Pfizer-BioNTech,A,160
2021-01-07,Flanders,85+,F,Pfizer-BioNTech,A,751
2021-01-07,Flanders,85+,M,Pfizer-BioNTech,A,260
2021-01-07,,25-34,F,Pfizer-BioNTech,A,10
2021-01-07,,25-34,F,Pfizer-BioNTech,B,1
2021-01-07,,25-34,M,Pfizer-BioNTech,A,2
2021-01-07,,35-44,F,Pfizer-BioNTech,A,23
2021-01-07,,35-44,M,Pfizer-BioNTech,A,8
2021-01-07,,45-54,F,Pfizer-BioNTech,A,18
2021-01-07,,45-54,M,Other,A,2
2021-01-07,,45-54,M,Pfizer-BioNTech,A,2
2021-01-07,,45-54,M,Pfizer-BioNTech,B,1
2021-01-07,,55-64,F,Pfizer-BioNTech,A,6
2021-01-07,,55-64,M,Pfizer-BioNTech,A,1
2021-01-07,,55-64,M,Pfizer-BioNTech,B,1
2021-01-07,,65-74,F,Pfizer-BioNTech,A,1
2021-01-07,,65-74,M,Moderna,A,1
2021-01-07,,65-74,M,Pfizer-BioNTech,A,3
2021-01-07,,75-84,F,Pfizer-BioNTech,A,2
2021-01-07,,75-84,M,Pfizer-BioNTech,A,2
2021-01-07,,85+,F,Pfizer-BioNTech,A,1
2021-01-07,,85+,M,Pfizer-BioNTech,A,2
2021-01-07,Ostbelgien,25-34,M,Pfizer-BioNTech,A,1
2021-01-07,Ostbelgien,35-44,F,Pfizer-BioNTech,A,1
2021-01-07,Ostbelgien,45-54,F,Pfizer-BioNTech,A,1
2021-01-07,Ostbelgien,45-54,M,Pfizer-BioNTech,A,1
2021-01-07,Ostbelgien,55-64,F,Pfizer-BioNTech,A,4
2021-01-07,Ostbelgien,55-64,M,Pfizer-BioNTech,A,1
2021-01-07,Ostbelgien,65-74,F,Pfizer-BioNTech,A,4
2021-01-07,Ostbelgien,75-84,F,Pfizer-BioNTech,A,13
2021-01-07,Ostbelgien,75-84,M,Pfizer-BioNTech,A,1
2021-01-07,Ostbelgien,85+,F,Pfizer-BioNTech,A,14
2021-01-07,Ostbelgien,85+,M,Pfizer-BioNTech,A,7
2021-01-07,Wallonia,16-17,F,Pfizer-BioNTech,A,3
2021-01-07,Wallonia,18-24,F,Pfizer-BioNTech,A,53
2021-01-07,Wallonia,18-24,M,Pfizer-BioNTech,A,27
2021-01-07,Wallonia,25-34,F,Johnson&Johnson,C,1
2021-01-07,Wallonia,25-34,F,Pfizer-BioNTech,A,219
2021-01-07,Wallonia,25-34,M,Johnson&Johnson,C,1
2021-01-07,Wallonia,25-34,M,Pfizer-BioNTech,A,81
2021-01-07,Wallonia,35-44,F,Johnson&Johnson,C,1
2021-01-07,Wallonia,35-44,F,Pfizer-BioNTech,A,317
2021-01-07,Wallonia,35-44,M,Johnson&Johnson,C,2
2021-01-07,Wallonia,35-44,M,Pfizer-BioNTech,A,66
2021-01-07,Wallonia,45-54,F,Pfizer-BioNTech,A,348
2021-01-07,Wallonia,45-54,M,Pfizer-BioNTech,A,105
2021-01-07,Wallonia,55-64,F,Pfizer-BioNTech,A,342
2021-01-07,Wallonia,55-64,M,Johnson&Johnson,C,1
2021-01-07,Wallonia,55-64,M,Pfizer-BioNTech,A,164
2021-01-07,Wallonia,65-74,F,Johnson&Johnson,C,1
2021-01-07,Wallonia,65-74,F,Pfizer-BioNTech,A,278
